ra,dec,parallax,g_mag,bp_rp
264.3448866636797,-3.263761726743713,-19.208343059606783,20.675137,1.680006
264.40911924811536,-3.3172839389516984,-15.886471139692976,20.16063,1.4089451
264.37107520281324,-3.226632788978463,-15.240647011643393,20.104748,2.412777
264.34305540927596,-3.2678739602801157,-14.46702261630199,20.746227,1.8411293
264.42585270171884,-3.2742053499187223,-13.624441061075125,19.433704,1.486927
264.36583569673627,-3.1846501709174753,-13.488468208365509,20.49083,1.463911
264.44229795129814,-3.314688439842745,-13.26808973051823,20.40133,1.4301605
264.45558975663135,-3.2676190800186045,-12.946138096163084,19.820995,1.6093922
264.47904380119763,-3.212719920218896,-12.005157895938853,19.526606,1.7249794
264.38581206743527,-3.261030294525515,-11.622139793807063,18.540663,1.648777
264.443829896464,-3.195705055920797,-11.358288524457635,20.597204,1.471941
264.3899863710125,-3.263564191641833,-11.255013153318245,19.69647,1.2235317
264.3418932575198,-3.229935065006919,-11.062841288961078,20.517412,1.4431629
264.35054812004154,-3.246388666963491,-10.546416120435703,20.01269,1.3390942
264.3884386216903,-3.2010611004200458,-10.254646943573174,20.674953,1.2954617
264.37392157178124,-3.224315591234193,-9.540536739944514,20.196201,2.1200447
264.4081622344809,-3.2204768931266368,-9.524784172633312,19.566608,2.0626106
264.3854964276996,-3.2208788776180426,-9.253083566165065,19.979053,1.3381138
264.4315100702812,-3.272823991161613,-8.905764456692271,20.715925,1.9729252
264.3872782133408,-3.273955339758398,-8.572251815534123,20.404299,1.2240658
264.4067159367616,-3.200380869362775,-8.481566537135825,18.911812,1.6398277
264.4371563362233,-3.2766947229858188,-8.283325934887927,20.47717,2.2997437
264.3934927053667,-3.220990660364739,-8.242728760935776,19.666298,1.5723515
264.3914000899667,-3.2267722953154427,-7.968337052110204,19.184649,1.542202
264.37611719558686,-3.285012594907301,-7.85041371758142,20.723364,1.729929
264.40363873924326,-3.326843790557296,-7.819715535210021,20.678122,1.7415028
264.39450785972633,-3.212120817031513,-7.8128918413873825,19.984926,1.5851536
264.3986659500096,-3.294675229393567,-7.770678402982602,20.270172,1.2953644
264.39204455230487,-3.2116109880040624,-7.615912568337629,20.327536,3.3551426
264.3842604444707,-3.204367079139351,-7.592206332931201,20.348892,1.1518135
264.4267934068084,-3.2172370876303082,-7.564606966291336,20.027582,1.441782
264.4078271111824,-3.2197407046545163,-7.539396474655035,19.459932,1.5171356
264.37801135048153,-3.2354195333934777,-7.533983937273282,19.642082,1.6088428
264.4318293326174,-3.2678236557014815,-7.513217983090919,20.124977,1.0632744
264.4007454671264,-3.2132559988951868,-7.4171893308037316,20.109842,1.1329956
264.3759532112982,-3.2802061476093045,-7.341225268026504,19.541973,1.4294434
264.3713449798361,-3.2803272187815096,-7.274463764729393,20.61212,1.2136841
264.3789840228041,-3.2581477570092154,-7.083738796692624,19.818806,1.6660824
264.4439268800031,-3.246394632208769,-6.8675401317934215,20.209333,1.0765724
264.3708704619502,-3.21588967872293,-6.849787890802267,20.06812,1.6575603
264.35251732987075,-3.2277073891855546,-6.764656679847081,19.987625,1.7826309
264.4083318354144,-3.2697875736766444,-6.695912635968999,19.434147,1.447504
264.37098222250137,-3.2658398543192817,-6.673316244790218,19.884987,1.439867
264.42524775815946,-3.2535745691346953,-6.6703138147082095,19.403831,1.358448
264.34083229622837,-3.2565246554751797,-6.622315897660052,19.647913,1.4580784
264.4069947639166,-3.2034581331883145,-6.588475919686225,20.71442,1.392313
264.36924890508493,-3.295748849825175,-6.578756677245505,20.596954,1.6844082
264.43302764666373,-3.2484702867026147,-6.56482765981246,19.497494,1.0740471
264.38773911398,-3.242542454075791,-6.537428434749062,18.707993,1.3734417
